1,1000
2,717
3,514
4,491
5,468
6,446
7,426
8,406
9,387
10,369
11,358
12,347
13,336
14,325
15,315
16,305
17,296
18,287
19,278
20,269
21,261
22,253
23,245
24,237
25,230
26,223
27,216
28,209
29,202
30,196
31,190
32,184
33,180
34,175
35,170
36,166
37,162
38,157
39,153
40,149
41,146
42,142
43,138
44,135
45,131
46,128
47,124
48,121
49,118
50,115
51,112
52,109
53,106
54,104
55,101
56,98
57,96
58,93
59,91
60,88
61,86
62,84
63,82
64,80
65,78
66,76
67,75
68,73
69,71
70,70
71,68
72,67
73,65
74,64
75,63
76,61
77,60
78,59
79,57
80,56
81,55
82,54
83,52
84,51
85,50
86,49
87,48
88,47
89,46
90,45
91,44
92,43
93,42
94,41
95,40
96,39
97,38
98,37
99,36
100,35
101,34
102,34
103,33
104,33
105,32
106,32
107,31
108,30
109,30
110,29
111,28
112,28
113,27
114,26
115,26
116,25
117,25
118,24
119,24
120,23
121,23
122,22
123,21
124,21
125,20
126,20
127,19
128,19
129,18
130,18
131,18
132,17
133,17
134,17
135,16
136,16
137,16
138,15
139,15
140,15
141,14
142,14
143,14
144,13
145,13
146,13
147,13
148,12
149,12
150,12
151,12
152,11
153,11
154,11
155,11
156,11
157,11
158,10
159,10
160,10
161,10
162,10
163,10
164,10
165,9
166,9
167,9
168,9
169,9
170,9
171,9
172,9
173,9
174,8
175,8
176,8
177,8
178,8
179,8
180,8
181,8
182,7
183,7
184,7
185,7
186,7
187,6
188,6
189,6
190,6
191,6
192,6
193,6
194,6
195,5
196,5
197,5
198,5
199,5
200,5
201,5
202,5
203,5
204,4
205,4
206,4
207,4
208,4
209,4
210,4
211,4
212,4
213,4
214,4
215,4
216,3
217,3
218,3
219,3
220,3
221,3
222,3
223,3
224,3
225,3
226,3
227,3
228,3
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
